usuario|publicacion
William|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.
Stanley|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.
Tina|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.
Steven|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.
Larry|Raheem Sterling del Liverpool dio una asistencia brillante en el cierre de la liga.
Benjamin|Raheem Sterling del Arsenal celebró con los aficionados en un partido histórico.
Natalie|Phil Foden del Manchester United fue el jugador del partido en un partido histórico.
Linda|Marcus Rashford del Chelsea salvó a su equipo en el último minuto bajo la lluvia.
Ryan|Jack Grealish del Newcastle United salvó a su equipo en el último minuto en el derbi de Londres.
Karen|Bukayo Saka del Chelsea dio una asistencia brillante con el estadio lleno.
Justin|Bruno Fernandes del West Ham United marcó un gol espectacular en el debut de la temporada.
Gina|Phil Foden del Manchester United dio una asistencia brillante en el derbi de Londres.
Karen|Kevin De Bruyne del Arsenal dio una asistencia brillante en el derbi de Londres.
William|Jack Grealish del Arsenal dio una asistencia brillante bajo la lluvia.
Jake|Harry Kane del Liverpool fue el jugador del partido con el estadio lleno.
Amy|Kevin De Bruyne del Manchester United celebró con los aficionados en el último suspiro.
Mark|Raheem Sterling del Newcastle United fue el jugador del partido en un partido histórico.
Amy|Phil Foden del Manchester City dejó todo en la cancha en un encuentro tenso.
Kyle|Bukayo Saka del Manchester United hizo una entrada polémica en un encuentro tenso.
Laura|Kevin De Bruyne del Chelsea marcó un gol espectacular bajo la lluvia.
Chloe|Mohamed Salah del Manchester United dejó todo en la cancha en un encuentro tenso.
Brad|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.
Christina|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.
Kristen|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.
Theresa|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.
Katelyn|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.
Molly|Kevin De Bruyne del Chelsea falló un penalti decisivo en el debut de la temporada.
Nicole|Raheem Sterling del Arsenal celebró con los aficionados en el debut de la temporada.
April|Bruno Fernandes del West Ham United salvó a su equipo en el último minuto bajo la lluvia.
Dustin|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el último suspiro.
Jerry|Bukayo Saka del Liverpool ganó el partido en tiempo de descuento en un partido histórico.
Shelley|Erling Haaland del Aston Villa fue expulsado por doble amarilla en el cierre de la liga.
William|Bruno Fernandes del Aston Villa dio una asistencia brillante en un partido histórico.
Anna|Marcus Rashford del Leicester City fue expulsado por doble amarilla en el cierre de la liga.
Karen|Bruno Fernandes del Arsenal falló un penalti decisivo en el debut de la temporada.
Jennifer|Bukayo Saka del Liverpool dejó todo en la cancha en el clásico.
Jessica|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.
Karen|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.
Kenneth|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.
Kenneth|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.
Brittany|Bukayo Saka del Arsenal fue expulsado por doble amarilla en el derbi de Londres.
Abigail|Phil Foden del Leicester City ganó el partido en tiempo de descuento en un encuentro tenso.
Sheryl|Kevin De Bruyne del Manchester City hizo una entrada polémica con el estadio lleno.
Kathryn|Phil Foden del Manchester United fue expulsado por doble amarilla en el clásico.
Kelly|Kevin De Bruyne del Leicester City fue expulsado por doble amarilla con el estadio lleno.
Nicholas|Jack Grealish del Manchester United fue el jugador del partido en el cierre de la liga.
Larry|Erling Haaland del Leicester City dio una asistencia brillante en el clásico.
Jeffrey|Harry Kane del Manchester City fue el jugador del partido en un encuentro tenso.
Joan|Phil Foden del Tottenham Hotspur dio una asistencia brillante en el último suspiro.
Richard|Bruno Fernandes del Liverpool hizo una entrada polémica en el clásico.
Hunter|Jack Grealish del Tottenham Hotspur marcó un gol espectacular en el derbi de Londres.
Ryan|Bukayo Saka del Tottenham Hotspur celebró con los aficionados en el debut de la temporada.
Julian|Harry Kane del Leicester City salvó a su equipo en el último minuto en el clásico.
Stanley|Jack Grealish del Manchester City hizo una entrada polémica bajo la lluvia.
Katelyn|Phil Foden del Tottenham Hotspur marcó un gol espectacular en el derbi de Londres.
Kyle|Kevin De Bruyne del Tottenham Hotspur dejó todo en la cancha en el último suspiro.
Anna|Kevin De Bruyne del Arsenal salvó a su equipo en el último minuto en la jornada 10.
Julie|Marcus Rashford del Manchester City ganó el partido en tiempo de descuento en el derbi de Londres.
Katelyn|Erling Haaland del Chelsea fue el jugador del partido con el estadio lleno.
Joan|Marcus Rashford del West Ham United falló un penalti decisivo en un encuentro tenso.
Karen|Bukayo Saka del Arsenal salvó a su equipo en el último minuto en la jornada 10.
Crystal|Mohamed Salah del Chelsea fue expulsado por doble amarilla en un encuentro tenso.
Jared|Raheem Sterling del Liverpool celebró con los aficionados en el derbi de Londres.
Sally|Jack Grealish del Newcastle United falló un penalti decisivo bajo la lluvia.
Mary|Bukayo Saka del Tottenham Hotspur ganó el partido en tiempo de descuento en el último suspiro.
Nicole|Phil Foden del Manchester City fue el jugador del partido bajo la lluvia.
Ryan|Raheem Sterling del Liverpool fue el jugador del partido en la jornada 10.
Benjamin|Bruno Fernandes del Leicester City celebró con los aficionados bajo la lluvia.
Theresa|Marcus Rashford del Arsenal fue expulsado por doble amarilla en el último suspiro.
Charles|Kevin De Bruyne del Tottenham Hotspur fue expulsado por doble amarilla en la jornada 10.
Kathryn|Bukayo Saka del Manchester United dio una asistencia brillante en la jornada 10.
Sheryl|Marcus Rashford del Liverpool dejó todo en la cancha en la jornada 10.
Heather|Erling Haaland del Newcastle United falló un penalti decisivo en el cierre de la liga.
Richard|Kevin De Bruyne del Aston Villa hizo una entrada polémica en un partido histórico.
Adriana|Jack Grealish del Manchester City fue expulsado por doble amarilla en el clásico.
William|Harry Kane del Manchester City dio una asistencia brillante en el derbi de Londres.
Gina|Bruno Fernandes del Aston Villa dio una asistencia brillante bajo la lluvia.
Mary|Jack Grealish del Arsenal marcó un gol espectacular en la jornada 10.
Kelly|Mohamed Salah del Manchester United falló un penalti decisivo en un encuentro tenso.
William|Harry Kane del Manchester United fue el jugador del partido en el último suspiro.
Richard|Mohamed Salah del Aston Villa dio una asistencia brillante en el debut de la temporada.
Andrea|Phil Foden del Chelsea falló un penalti decisivo en un partido histórico.
Tracy|Harry Kane del Arsenal celebró con los aficionados en el derbi de Londres.
Jacob|Erling Haaland del Chelsea marcó un gol espectacular en el clásico.
Jeremiah|Raheem Sterling del Chelsea ganó el partido en tiempo de descuento en el cierre de la liga.
Bryan|Harry Kane del Chelsea dejó todo en la cancha bajo la lluvia.
Reginald|Phil Foden del Manchester City fue expulsado por doble amarilla en un partido histórico.
Erica|Jack Grealish del Liverpool marcó un gol espectacular en la jornada 10.
Samuel|Marcus Rashford del Leicester City hizo una entrada polémica en el clásico.
Laura|Jack Grealish del Arsenal hizo una entrada polémica en un encuentro tenso.
Karen|Bukayo Saka del Manchester United dio una asistencia brillante con el estadio lleno.
Hunter|Raheem Sterling del West Ham United fue el jugador del partido en la jornada 10.
Jeremiah|Erling Haaland del Chelsea fue el jugador del partido en el clásico.
Gabriella|Kevin De Bruyne del Manchester City hizo una entrada polémica en un partido histórico.
Molly|Marcus Rashford del Tottenham Hotspur marcó un gol espectacular en la jornada 10.
Jay|Bukayo Saka del West Ham United ganó el partido en tiempo de descuento con el estadio lleno.
Heather|Phil Foden del Newcastle United salvó a su equipo en el último minuto en la jornada 10.
Mary|Kevin De Bruyne del Tottenham Hotspur falló un penalti decisivo con el estadio lleno.
Andrea|Jack Grealish del West Ham United fue el jugador del partido en la jornada 10.
Emily|Harry Kane del Tottenham Hotspur celebró con los aficionados en el clásico.
